NAME,POSITION,HEIGHT,FOOT,AGE,RATING,NATION
Luke Shaw,Defence,185,Left,27,91,England
Lucas Digne,Defence,175,Left,28,91,France
Kieran Trippier,Defence,177,Right,31,91,England
John Stones,Defence,188,Right,28,91,England
Diego Carlos,Defence,186,Right,29,91,Brazil
Emiliano Martínez,Goalkeeper,195,Right,29,91,Argentina
David de Gea,Goalkeeper,192,Right,31,91,Spain
Kasper Schmeichel,Goalkeeper,185,Right,35,91,Denmark
Anthony Martial,Attack,181,Right,26,90,France
Darwin Núñez,Attack,187,Right,23,90,Uruguay
Dominic Calvert-Lewin,Attack,187,Right,25,90,England
Raúl Jiménez,Attack,190,Right,31,90,Mexico
Michail Antonio,Attack,182,Right,32,90,Jamaica
Donny van de Beek,Midfield,183,Right,25,90,Netherlands
Jarrod Bowen,Attack,174,Left,25,90,England
Adama Traoré,Attack,178,Right,26,90,Spain
Wilfried Zaha,Attack,180,Right,29,90,Ivory Coast
Oleksandr Zinchenko,Midfield,175,Left,25,90,Ukraine
Giovani Lo Celso,Midfield,180,Left,26,90,Argentina
Naby Keïta,Midfield,172,Right,27,90,Guinea
James Ward-Prowse,Midfield,173,Right,27,90,England
Bruno Guimarães,Midfield,182,Right,24,90,Brazil
Yves Bissouma,Midfield,181,Right,25,90,Mali
Tanguy Ndombélé,Midfield,181,Right,25,90,France
Abdoulaye Doucouré,Midfield,182,Right,29,90,Mali
Rodrigues Fred,Midfield,169,Left,29,90,Brazil
Kalvin Phillips,Defence,178,Right,26,90,England
Granit Xhaka,Midfield,185,Left,29,90,Switzerland
Scott Mctominay,Defence,193,Right,25,90,Scotland
Pierre-Emile Höjbjerg,Midfield,185,Right,26,90,Denmark
Marc Cucurella,Defence,175,Left,23,90,Spain
Sergio Reguilón,Defence,180,Left,25,90,Spain
Kieran Tierney,Defence,178,Left,25,90,Scotland
Ben Chilwell,Defence,178,Left,25,90,England
Timothy Castagne,Defence,187,Right,26,90,Belgium
Alex Telles,Defence,179,Left,29,90,Brazil
Nélson Semedo,Defence,177,Right,28,90,Portugal
Aaron Wan-Bissaka,Defence,183,Right,24,90,England
Ben White,Defence,182,Right,24,90,England
Conor Coady,Defence,185,Right,29,90,England
Victor Lindelöf,Defence,187,Right,27,90,Sweden
César Azpilicueta,Defence,178,Right,32,90,Spain
Ibrahima Konaté,Defence,194,Right,23,90,France
Gabriel Magalhães,Defence,190,Left,24,90,Brazil
Caglar Söyüncü,Defence,187,Right,26,90,Turkey
Joe Gomez,Defence,188,Right,25,90,England
Davinson Sánchez,Defence,188,Right,26,90,Colombia
Eric Dier,Defence,191,Both,28,90,England
Kurt Zouma,Defence,190,Right,27,90,France
Jordan Pickford,Goalkeeper,185,Left,28,90,England
Rodrigo Moreno,Attack,181,Left,31,89,Spain
Nicolas Pépé,Attack,183,Left,27,89,Ivory Coast
Ollie Watkins,Attack,180,Right,26,89,England
Danny Ings,Attack,178,Right,29,89,England
Patrick Bamford,Attack,185,Left,28,89,England
Callum Wilson,Attack,180,Right,30,89,England
Pablo Fornals,Midfield,178,Right,26,89,Spain
Nikola Vlašić,Midfield,180,Right,24,89,Croatia
Dele Alli,Midfield,187,Right,26,89,England
Jesse Lingard,Midfield,168,Right,29,89,England
Harvey Barnes,Midfield,174,Right,24,89,England
Leon Bailey,Attack,178,Left,24,89,Jamaica
Allan Saint-Maximin,Attack,173,Right,25,89,France
Leandro Trossard,Attack,171,Right,27,89,Belgium
Lucas Moura,Attack,172,Right,29,89,Brazil
John Mcginn,Midfield,178,Left,27,89,Scotland
Alex Oxlade-Chamberlain,Midfield,175,Both,28,89,England
Loureiro Allan,Midfield,175,Right,31,89,Brazil
James Milner,Defence,176,Right,36,89,England
Marc Roca,Midfield,184,Left,25,89,Spain
Douglas Luiz,Midfield,175,Right,24,89,Brazil
Boubacar Kamara,Defence,184,Right,22,89,France
Lucas Torreira,Midfield,165,Right,26,89,Uruguay
João Palhinha,Midfield,190,Right,27,89,Portugal
Leander Dendoncker,Defence,188,Right,27,89,Belgium
Emerson Royal,Defence,183,Right,23,89,Brazil
Matty Cash,Defence,185,Right,24,89,Poland
Vladimír Coufal,Defence,179,Right,29,89,Czech Republic
Héctor Bellerín,Defence,178,Right,27,89,Spain
Ricardo Pereira,Defence,175,Right,28,89,Portugal
Jonny Otto,Defence,175,Both,28,89,Spain
Marcos Alonso,Defence,188,Left,31,89,Spain
William Saliba,Defence,193,Right,21,89,France
Yerry Mina,Defence,193,Right,27,89,Colombia
Nathan Aké,Defence,180,Left,27,89,Netherlands
Takehiro Tomiyasu,Defence,188,Right,23,89,Japan
Ben Davies,Defence,181,Left,29,89,Wales
Jonny Evans,Defence,188,Right,34,89,Northern Ireland
Sven Botman,Defence,195,Left,22,89,Netherlands
Jan Bednarek,Defence,189,Right,26,89,Poland
Tyrone Mings,Defence,196,Left,29,89,England
Diego Llorente,Defence,185,Right,28,89,Spain
Michael Keane,Defence,186,Right,29,89,England
Aaron Ramsdale,Goalkeeper,188,Right,24,89,England
Dean Henderson,Goalkeeper,191,Right,25,89,England
Nick Pope,Goalkeeper,190,Right,30,89,England
Thomas Strakosha,Goalkeeper,192,Right,27,89,Albania
José Sá,Goalkeeper,192,Right,29,89,Portugal
Alphonse Aréola,Goalkeeper,191,Right,29,89,France
Lukasz Fabiański,Goalkeeper,190,Right,37,89,Poland
Hee-Chan Hwang,Attack,177,Right,26,88,Korea Republic
Ché Adams,Attack,175,Right,26,88,Scotland
Ayoze Pérez,Attack,178,Right,28,88,Spain
Gabriel Martinelli,Attack,180,Right,21,88,Brazil
Mason Greenwood,Attack,181,Both,20,88,England
Luis Sinisterra,Attack,172,Right,23,88,Colombia
Bertrand Traoré,Attack,181,Left,26,88,Burkina Faso
Julián Álvarez,Attack,170,Right,22,88,Argentina
Kelechi Iheanacho,Attack,187,Left,25,88,Nigeria
Ivan Toney,Attack,179,Right,26,88,England
Neal Maupay,Attack,173,Right,25,88,France
Moise Kean,Attack,183,Right,22,88,Italy
Taiwo Awoniyi,Attack,182,Right,24,88,Nigeria
Aleksandar Mitrović,Attack,189,Right,27,88,Serbia
Chris Wood,Attack,191,Right,30,88,New Zealand
Emile Smith Rowe,Midfield,182,Right,21,88,England
Alexis Mac Allister,Midfield,174,Right,23,88,Argentina
Alex Iwobi,Attack,180,Both,26,88,Nigeria
Emiliano Buendía,Attack,172,Right,25,88,Argentina
Saïd Benrahma,Attack,172,Right,26,88,Algeria
Miguel Almirón,Attack,177,Left,28,88,Paraguay
Mohamed Elyounoussi,Attack,178,Right,27,88,Norway
Manuel Lanzini,Midfield,170,Right,29,88,Argentina
Callum Hudson-Odoi,Midfield,178,Right,21,88,England
Pedro Neto,Attack,172,Left,22,88,Portugal
Demarai Gray,Attack,179,Right,26,88,England
Daniel Podence,Attack,165,Right,26,88,Portugal
Nathan Redmond,Attack,173,Right,28,88,England
Marc Albrighton,Midfield,174,Right,32,88,England
Harry Winks,Midfield,178,Both,26,88,England
André Gomes,Midfield,188,Right,28,88,Portugal
Dennis Praet,Midfield,179,Right,28,88,Belgium
Pascal Gross,Midfield,181,Both,31,88,Germany
Jonjo Shelvey,Midfield,183,Right,30,88,England
Yangel Herrera,Midfield,184,Right,24,88,Venezuela
Conor Gallagher,Midfield,182,Right,22,88,England
Ruben Loftus-Cheek,Midfield,191,Right,26,88,England
Cassio Joelinton,Attack,186,Right,25,88,Brazil
Ross Barkley,Midfield,187,Right,28,88,England
Boubakary Soumaré,Midfield,188,Right,23,88,France
Tyler Adams,Defence,175,Right,23,88,United States
Tiemoué Bakayoko,Midfield,184,Right,27,88,France
Jefferson Lerma,Midfield,179,Right,27,88,Colombia
Tyrell Malacia,Defence,175,Left,22,88,Netherlands
James Justin,Defence,183,Right,24,88,England
Kyle Walker-Peters,Defence,173,Right,25,88,England
Kostas Tsimikas,Defence,179,Left,26,88,Greece
Matt Targett,Defence,183,Left,26,88,England
Emerson Palmieri,Defence,176,Left,27,88,Italy
Benjamin Mendy,Defence,185,Left,27,88,France
Stuart Dallas,Midfield,183,Right,31,88,Northern Ireland
Matt Doherty,Defence,183,Right,30,88,Ireland
Aaron Cresswell,Defence,170,Left,32,88,England
Seamus Coleman,Defence,177,Right,33,88,Ireland
Vitaliy Mykolenko,Defence,181,Left,23,88,Ukraine
Robin Koch,Defence,192,Right,25,88,Germany
Ben Godfrey,Defence,183,Right,24,88,England
Joël Veltman,Defence,183,Right,30,88,Netherlands
Fabian Schär,Defence,186,Right,30,88,Switzerland
Mason Holgate,Defence,184,Right,25,88,England
Wesley Fofana,Defence,190,Right,21,88,France
Marc Guehi,Defence,182,Right,22,88,England
Mohammed Salisu,Defence,191,Left,23,88,Ghana
Ezri Konsa,Defence,183,Right,24,88,England
Moussa Niakhaté,Defence,190,Left,26,88,France
Issa Diop,Defence,194,Right,25,88,France
Rob Holding,Defence,189,Right,26,88,England
Nayef Aguerd,Defence,190,Left,26,88,Morocco
Eric Bailly,Defence,187,Right,28,88,Ivory Coast
Joachim Andersen,Defence,190,Right,26,88,Denmark
Jamaal Lascelles,Defence,188,Right,28,88,England
Jannik Vestergaard,Defence,199,Left,29,88,Denmark
James Tarkowski,Defence,191,Both,29,88,England
Lewis Dunk,Defence,192,Right,30,88,England
Angelo Ogbonna,Defence,191,Left,34,88,Italy
Robert Sánchez,Goalkeeper,197,Right,24,88,Spain
Kepa Arrizabalaga,Goalkeeper,187,Right,27,88,Spain
Bernd Leno,Goalkeeper,190,Right,30,88,Germany
Jordan Ayew,Attack,182,Right,30,87,Ghana
Danny Welbeck,Attack,185,Right,31,87,England
Michy Batshuayi,Attack,185,Right,28,87,Belgium
Patson Daka,Attack,185,Right,23,87,Zambia
Jean-Philippe Mateta,Attack,192,Right,25,87,France
Wesley Moraes,Attack,190,Right,25,87,Brazil
Odsonne Édouard,Attack,187,Right,24,87,France
Christian Benteke,Attack,190,Right,31,87,Belgium
Eberechi Eze,Midfield,173,Right,24,87,England
David Brooks,Attack,173,Left,25,87,Wales
Ryan Christie,Midfield,178,Right,27,87,Scotland
Adam Lallana,Midfield,173,Both,34,87,England
Juan Mata,Attack,170,Left,34,87,Spain
Bryan Gil,Attack,175,Left,21,87,Spain
Daniel James,Attack,170,Left,24,87,Wales
Jack Harrison,Attack,175,Left,25,87,England
Anwar el Ghazi,Attack,188,Right,27,87,Netherlands
Robert Kenedy,Midfield,182,Left,26,87,Brazil
Ryan Fraser,Midfield,163,Right,28,87,Scotland
Andros Townsend,Attack,183,Left,31,87,England
Curtis Jones,Midfield,185,Right,21,87,England
Morgan Sanson,Midfield,180,Right,27,87,France
Will Hughes,Midfield,185,Left,27,87,England
Stuart Armstrong,Midfield,183,Right,30,87,Scotland
Albert Sambi Lokonga,Midfield,183,Right,22,87,Belgium
Lewis Cook,Midfield,175,Right,25,87,England
Enock Mwepu,Midfield,184,Right,24,87,Zambia
Mateusz Klich,Midfield,183,Right,32,87,Poland
James Mcarthur,Midfield,178,Right,34,87,Scotland
Cheick Doucouré,Midfield,180,Right,22,87,Mali
Jean-Philippe Gbamin,Defence,186,Right,26,87,Ivory Coast
Christian Norgaard,Defence,186,Right,28,87,Denmark
Mohamed Elneny,Midfield,180,Right,30,87,Egypt
Nampalys Mendy,Midfield,168,Right,30,87,Senegal
Oriol Romeu,Midfield,182,Right,30,87,Spain
Luka Milivojević,Midfield,182,Right,31,87,Serbia
Cheikhou Kouyaté,Defence,189,Both,32,87,Senegal
Tyrick Mitchell,Defence,175,Left,22,87,England
Diogo Dalot,Defence,183,Right,23,87,Portugal
Rasmus Kristensen,Defence,186,Right,25,87,Denmark
Júnior Firpo,Defence,184,Left,25,87,Spain
Arthur Masuaku,Defence,179,Left,28,87,Congo DR
Cédric Soares,Defence,172,Right,30,87,Portugal
Ryan Bertrand,Defence,179,Left,32,87,England
Ashley Young,Midfield,175,Both,37,87,England
Luke Ayling,Defence,185,Right,30,87,England
Trevoh Chalobah,Defence,190,Right,23,87,England
Adam Webster,Defence,185,Right,27,87,England
Max Kilman,Defence,194,Left,25,87,England
Calum Chambers,Defence,182,Right,27,87,England
Dan Burn,Defence,201,Left,30,87,England
Malang Sarr,Defence,182,Left,23,87,France
Willy Boly,Defence,195,Right,31,87,Ivory Coast
Craig Dawson,Defence,188,Right,32,87,England
Illan Meslier,Goalkeeper,196,Left,22,87,France
David Raya,Goalkeeper,183,Right,26,87,Spain
Stefan Ortega,Goalkeeper,185,Right,29,87,Germany
Alex Mccarthy,Goalkeeper,193,Right,32,87,England
Martin Dúbravka,Goalkeeper,191,Right,33,87,Slovakia
Vicente Guaita,Goalkeeper,190,Right,35,87,Spain
Bryan Mbeumo,Attack,171,Left,22,86,France
Eddie Nketiah,Attack,175,Right,23,86,England
Adam Armstrong,Attack,173,Right,25,86,England
Armando Broja,Attack,191,Right,20,86,Albania
Patrick Cutrone,Attack,183,Right,24,86,Italy
Salomón Rondón,Attack,186,Right,32,86,Venezuela
Fábio Vieira,Midfield,170,Left,22,86,Portugal
Brenden Aaronson,Midfield,178,Right,21,86,United States
Andreas Pereira,Midfield,176,Right,26,86,Brazil
Harry Wilson,Attack,173,Left,25,86,Wales
Moussa Djenepo,Attack,177,Right,24,86,Mali
Yoane Wissa,Attack,180,Right,25,86,Congo DR
Sergi Canós,Midfield,177,Right,25,86,Spain
Solly March,Midfield,180,Left,27,86,England
Hélder Costa,Attack,178,Left,28,86,Angola
Jeffrey Schlupp,Midfield,178,Left,29,86,Ghana
Philip Billing,Midfield,193,Left,26,86,Denmark
Kiernan Dewsbury-Hall,Midfield,180,Left,23,86,England
Jacob Ramsey,Midfield,180,Right,21,86,England
Jakub Moder,Midfield,188,Both,23,86,Poland
Joe Willock,Midfield,186,Right,22,86,England
Tom Davies,Midfield,180,Right,24,86,England
Oliver Skipp,Midfield,182,Right,21,86,England
Vitaly Janelt,Midfield,184,Left,24,86,Germany
Marvelous Nakamba,Midfield,178,Left,28,86,Zimbabwe
Isaac Hayden,Defence,187,Right,27,86,England
Luke Thomas,Defence,177,Left,21,86,England
Aaron Hickey,Defence,178,Left,20,86,Scotland
Rayan Aït Nouri,Defence,179,Left,21,86,France
Jamal Lewis,Defence,178,Left,24,86,Northern Ireland
Romain Perraud,Defence,173,Left,24,86,France
Ryan Sessegnon,Midfield,178,Left,22,86,England
Rico Henry,Defence,175,Left,25,86,England
Ainsley Maitland-Niles,Defence,180,Right,24,86,England
Frédéric Guilbert,Defence,177,Right,27,86,France
Joel Ward,Defence,188,Right,32,86,England
Kristoffer Ajer,Defence,196,Right,24,86,Norway
Daniel Amartey,Defence,183,Right,27,86,Ghana
Ethan Pinnock,Defence,193,Left,29,86,Jamaica
Jack Stephens,Defence,186,Right,28,86,England
Shane Duffy,Defence,193,Right,30,86,Ireland
Pontus Jansson,Defence,196,Right,31,86,Sweden
Phil Jones,Defence,182,Right,30,86,England
Liam Cooper,Defence,182,Left,30,86,Scotland
Zack Steffen,Goalkeeper,190,Right,27,86,United States
Robin Olsen,Goalkeeper,198,Both,32,86,Sweden
Sam Johnstone,Goalkeeper,191,Right,29,86,England
Brennan Johnson,Attack,177,Right,21,85,Wales
Tyler Roberts,Attack,180,Right,23,85,Wales
Deniz Undav,Attack,178,Right,25,85,Turkey
Dwight Gayle,Attack,174,Right,31,85,England
Dominic Solanke,Attack,187,Right,24,85,England
Kieffer Moore,Attack,196,Right,29,85,Wales
Saman Ghoddos,Attack,176,Right,28,85,Iran
Bobby Decordova-Reid,Attack,170,Right,29,85,Jamaica
Gylfi Sigurdsson,Midfield,186,Right,32,85,Iceland
Anthony Elanga,Attack,178,Right,20,85,Sweden
Michael Olise,Attack,180,Left,20,85,France
Anthony Gordon,Midfield,175,Right,21,85,England
Jacob Murphy,Midfield,176,Right,27,85,England
Joe Aribo,Attack,182,Left,25,85,Nigeria
Morgan Gibbs-White,Midfield,177,Right,22,85,England
Mathias Jensen,Midfield,180,Both,26,85,Denmark
Tom Cairney,Midfield,182,Left,31,85,Scotland
Moisés Caicedo,Midfield,178,Right,20,85,Ecuador
Frank Onyeka,Midfield,183,Right,24,85,Nigeria
Sean Longstaff,Midfield,181,Right,24,85,England
Jeff Hendrick,Midfield,185,Right,30,85,Ireland
Fabian Delph,Defence,174,Left,32,85,England
Ryan Yates,Midfield,190,Right,24,85,England
Pape Sarr,Midfield,176,Right,19,85,Senegal
Ibrahima Diallo,Midfield,180,Left,23,85,France
Hamza Choudhury,Midfield,178,Right,24,85,England
Harrison Reed,Midfield,176,Right,27,85,England
Tino Livramento,Defence,173,Right,19,85,England
Nuno Tavares,Defence,181,Left,22,85,Portugal
Tariq Lamptey,Defence,163,Right,21,85,Ghana
Omar Richards,Defence,185,Left,24,85,England
Antonee Robinson,Defence,183,Left,24,85,United States
Javi Manquillo,Defence,178,Right,28,85,Spain
Ryan Fredericks,Defence,180,Right,29,85,England
Kenny Tete,Defence,180,Right,26,85,Netherlands
Emil Krafth,Defence,181,Right,27,85,Sweden
Nathaniel Clyne,Defence,175,Right,31,85,England
Pascal Struijk,Defence,190,Left,22,85,Netherlands
Ethan Ampadu,Defence,182,Right,21,85,Wales
Lloyd Kelly,Defence,190,Left,23,85,England
Jairo Riedewald,Defence,182,Left,25,85,Netherlands
Armel Bella Kotchap,Defence,190,Right,20,85,Germany
Nathan Collins,Defence,193,Right,21,85,Ireland
Nathaniel Phillips,Defence,190,Right,25,85,England
Chris Mepham,Defence,191,Right,24,85,Wales
Joe Worrall,Defence,190,Right,25,85,England
Joe Rodon,Defence,193,Right,24,85,Wales
Tosin Adarabioyo,Defence,196,Right,24,85,England
Vojnović Lyanco,Defence,187,Right,25,85,Brazil
Pablo Marí,Defence,193,Left,28,85,Spain
Steve Cook,Defence,185,Right,31,85,England
Federico Fernández,Defence,190,Right,33,85,Argentina
James Tomkins,Defence,190,Right,33,85,England
Marek Rodák,Goalkeeper,188,Right,25,85,Slovakia
Matt Turner,Goalkeeper,191,Right,28,85,United States
Jack Butland,Goalkeeper,196,Right,29,85,England
Karl Darlow,Goalkeeper,190,Right,31,85,England
Fraser Forster,Goalkeeper,201,Right,34,85,England
Tom Heaton,Goalkeeper,188,Right,36,85,England
Theo Walcott,Attack,175,Right,33,84,England
Jaidon Anthony,Attack,183,Right,22,84,England
Ivan Cavaleiro,Attack,175,Right,28,84,Angola
Neeskens Kebano,Attack,172,Right,30,84,Congo DR
Matt Ritchie,Defence,173,Left,32,84,Scotland
Billy Gilmour,Midfield,180,Right,21,84,Scotland
Josh Dasilva,Midfield,184,Left,23,84,England
Joe Rothwell,Midfield,185,Right,27,84,England
Josh Onomah,Midfield,185,Right,25,84,England
Adam Forshaw,Midfield,174,Right,30,84,England
James Garner,Midfield,182,Right,21,84,England
Ben Pearson,Midfield,175,Right,27,84,England
Nathaniel Chalobah,Midfield,185,Right,27,84,England
Issa Kabore,Defence,180,Right,21,84,Burkina Faso
Brandon Williams,Defence,176,Right,21,84,England
Ben Johnson,Defence,178,Right,22,84,England
Giulian Biancone,Defence,187,Right,22,84,France
Joe Bryan,Defence,180,Left,28,84,England
Adam Smith,Defence,180,Right,31,84,England
Paul Dummett,Defence,183,Left,30,84,Wales
Tim Ream,Defence,185,Left,34,84,United States
Scott Mckenna,Defence,183,Left,25,84,Scotland
Axel Tuanzebe,Defence,182,Right,24,84,England
Kortney Hause,Defence,191,Left,27,84,England
Ciaran Clark,Defence,188,Left,32,84,Ireland
Gary Cahill,Defence,193,Right,36,84,England
Paulo Gazzaniga,Goalkeeper,196,Right,30,84,Argentina
Keane Lewis-Potter,Attack,180,Right,21,83,England
Jamal Lowe,Attack,183,Right,28,83,Jamaica
Aaron Connolly,Attack,175,Right,22,83,Ireland
Nahuel Bustos,Attack,176,Right,24,83,Argentina
Lewis Grabban,Attack,183,Right,34,83,Jamaica
Fábio Silva,Attack,185,Right,19,83,Brazil
Andi Zeqiri,Attack,181,Left,23,83,Switzerland
Florin Andone,Attack,181,Right,29,83,Romania
Léo Bonatini,Attack,185,Right,28,83,Brazil
Fábio Carvalho,Midfield,170,Right,19,83,Portugal
Kaoru Mitoma,Attack,178,Right,25,83,Japan
Harvey Elliott,Midfield,170,Left,19,83,England
Filip Stevanović,Attack,177,Right,19,83,Serbia
Abdallah Sima,Attack,188,Right,21,83,Senegal
Nathan Tella,Attack,173,Right,23,83,England
Reiss Nelson,Midfield,175,Right,22,83,England
Anthony Knockaert,Attack,172,Left,30,83,France
Steven Alzate,Midfield,180,Right,23,83,Colombia
Flynn Downes,Midfield,173,Right,23,83,England
Jack Colback,Defence,176,Left,32,83,England
Jordan Zemura,Defence,173,Left,22,83,Zimbabwe
Neco Williams,Defence,176,Right,21,83,Wales
Yan Couto,Defence,168,Right,20,83,Brazil
Yan Valery,Defence,177,Right,23,83,France
Mads Roerslev,Defence,177,Right,23,83,Denmark
Richie Laryea,Defence,175,Right,27,83,Canada
Jack Stacey,Defence,180,Right,26,83,England
Abdul Rahman Baba,Defence,179,Left,28,83,
Cyrus Christie,Defence,188,Right,29,83,Ireland
Leo Ostigard,Defence,185,Right,22,83,Norway
Matt Clarke,Defence,185,Left,25,83,England
Mads Bech Sorensen,Defence,185,Left,23,83,Denmark
Terence Kongolo,Defence,188,Left,28,83,Netherlands
Japhet Tanganga,Defence,184,Right,23,83,England
Alfie Mawson,Defence,188,Right,28,83,England
Matt Miazga,Defence,190,Right,26,83,United States
Michael Hector,Defence,193,Right,29,83,Jamaica
Mathias Zanka,Defence,191,Right,32,83,Denmark
Winston Reid,Defence,190,Right,34,83,New Zealand
Mark Travers,Goalkeeper,191,Right,23,83,Ireland
Caoimhin Kelleher,Goalkeeper,188,Right,23,83,Ireland
Daniel Iversen,Goalkeeper,193,Right,24,83,Denmark
Ethan Horvath,Goalkeeper,194,Right,27,83,United States
Marcus Bettinelli,Goalkeeper,192,Right,30,83,England
San Miguel Adrián,Goalkeeper,190,Right,35,83,
Danny Ward,Goalkeeper,191,Right,29,83,England
Loris Karius,Goalkeeper,189,Right,29,83,Germany
Willy Caballero,Goalkeeper,186,Right,40,83,Argentina
Kiko Casilla,Goalkeeper,190,Right,35,83,Spain
Asmir Begović,Goalkeeper,199,Right,35,83,Bosnia & Herzegovina
Darren Randolph,Goalkeeper,191,Right,35,83,Ireland
John Ruddy,Goalkeeper,193,Right,35,83,England
Siriki Dembélé,Attack,173,Both,25,82,Scotland
Marlos Moreno,Attack,171,Right,25,82,Colombia
Shane Long,Attack,180,Right,35,82,Ireland
Julio Enciso,Attack,175,Right,18,82,Paraguay
Joe Gelhardt,Attack,180,Left,20,82,England
Lyle Taylor,Attack,188,Right,32,82,Montserrat
Marcus Forss,Attack,186,Right,23,82,Finland
Halil Dervisoglu,Attack,183,Right,22,82,Turkey
Slobodan Tedić,Attack,190,Right,22,82,Serbia
Keinan Davis,Attack,189,Both,24,82,England
Nuno da Costa,Attack,184,Right,31,82,Cape Verde
Sam Surridge,Attack,191,Right,23,82,England
Emiliano Marcondes,Midfield,182,Right,27,82,Denmark
Francisco Chiquinho,Attack,180,Right,22,82,Portugal
Facundo Pellistri,Attack,174,Right,20,82,Uruguay
Tariqe Fosu,Midfield,180,Right,26,82,Ghana
Joe Lolley,Attack,178,Right,29,82,England
Junior Stanislas,Midfield,183,Both,32,82,England
Jamie Shackleton,Defence,176,Right,22,82,England
Shandon Baptiste,Midfield,180,Right,24,82,Grenada
Danny Drinkwater,Midfield,177,Right,32,82,England
Kacper Kozlowski,Midfield,180,Both,18,82,Poland
Hayao Kawabe,Midfield,178,Right,26,82,Japan
Ribeiro Cafú,Midfield,185,Right,29,82,Portugal
Ante Palaversa,Midfield,187,Right,22,82,Croatia
Bendegúz Bolla,Defence,179,Right,22,82,Hungary
Ian Maatsen,Defence,175,Left,20,82,Netherlands
Michal Karbownik,Defence,175,Both,21,82,Poland
Mohamed Dräger,Midfield,178,Right,26,82,Tunisia
Jan Paul van Hecke,Defence,189,Right,22,82,
Sepp van Den Berg,Defence,190,Right,20,82,Netherlands
Jonathan Panzo,Defence,185,Left,21,82,England
Martin Kelly,Defence,191,Right,32,82,England
Levi Colwill,Defence,187,Left,19,82,England
Rhys Williams,Defence,185,Right,21,82,England
Taylor Harwood-Bellis,Defence,185,Right,20,82,England
Auston Trusty,Defence,188,Right,23,82,United States
